L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-0.0586548,-2.45983,0.59993,-3.97221,-1.91245,-0.368225,0.212748,-0.0584977,-1.17934,-1.08728,0.527931,1.1647,-1.31329,-0.328611
0.297233,-1.45623,0.679201,-3.4772,-1.01983,0.225774,0.916517,0.0912662,-1.1843,-0.422327,-0.540969,1.08984,-0.0971399,-0.202535
0.687078,0.0417121,0.621845,-1.21703,0.0249721,0.422314,1.23742,0.554612,-0.705311,0.486474,-0.344328,0.975431,1.26548,-0.25123
0.424865,0.814025,0.258857,-0.0915106,0.511642,0.631938,-0.258725,0.661359,0.337307,0.512472,0.0264464,0.570694,1.4681,0.0924999
-0.2215,0.635021,-0.230538,-0.892144,0.195019,0.537426,-1.63277,0.431464,0.516911,-0.00977395,-0.755826,0.0326068,0.490583,0.497252
0.522412,0.178937,-0.177052,-0.973868,0.637745,0.387057,0.488089,1.29608,0.285931,0.962527,-1.36238,0.55199,0.651894,0.650436
0.909053,-0.2562,-0.146729,1.20035,1.79657,0.800456,2.70167,1.56707,0.448633,2.15401,0.0829085,1.18094,1.28233,0.794531
1.42779,0.636671,0.325947,3.47878,2.44073,0.783264,2.01402,1.1875,0.187988,0.975406,0.420732,0.592912,1.09032,0.685087
1.48199,2.07835,1.02491,3.92057,2.09574,0.216013,1.68683,-0.378008,0.270592,-0.556663,-0.427403,-0.892057,-0.0379011,0.0704267
1.20032,1.53997,0.455263,3.98227,1.92951,-0.452331,3.41042,-1.51268,0.518449,0.0306572,0.278789,-2.47617,-0.454795,-0.169625
2.39299,0.657475,-0.204567,3.42902,1.90545,-1.27132,3.24052,0.64017,0.360874,0.455096,0.668439,-2.4341,0.505282,0.0410633
3.16537,0.626185,0.0671264,1.64426,1.43958,-0.96915,0.707737,2.24148,0.391135,-0.527633,0.444434,-0.586576,1.22098,0.414679
2.35002,-0.00187723,0.0859468,0.535585,1.28367,0.0576422,-0.599721,0.29634,0.282842,-1.08538,0.431899,0.40624,1.54793,0.775173
1.35024,-0.223903,-0.246993,1.35712,0.973558,0.275134,-1.06144,-0.650021,0.343592,-1.09287,1.16648,0.66777,1.16513,0.437365
1.22396,0.0475727,-0.319335,1.87547,0.664119,-0.001267,-1.33871,0.926465,0.0229864,-0.877863,1.64592,1.13646,0.426935,-0.169619
0.54851,0.127306,0.143362,-0.126936,0.14277,-0.294878,-1.47043,0.687782,-0.907946,-0.983795,-0.121241,0.639944,-0.131793,-0.448332
-0.613706,0.232238,0.610824,-1.65127,-0.606891,-0.49002,-1.31284,-0.798668,-1.07531,-1.2714,-0.988222,-0.252489,-0.541595,-0.54354
-1.53696,0.290703,0.336865,-0.911481,-1.01583,-0.243997,-0.99738,-1.36961,-0.346853,-1.55901,0.202138,-0.432925,-0.79064,-0.607908
-1.94827,0.457525,-0.165758,0.27739,-1.09691,0.440879,-0.948395,-1.31557,0.647872,-1.46289,-0.282459,-0.306926,-0.879981,-0.310305
0.615625,-0.0990589,0.163706,0.752645,0.116999,0.66526,1.34091,1.00948,0.744318,0.566256,-2.02953,-0.0156176,0.508917,0.403228
3.42514,-0.558918,0.755476,-0.0899079,1.43122,0.614028,4.51773,3.86872,0.251532,2.65546,-2.18748,0.737702,2.14075,1.12974
2.51884,0.393376,0.368755,-0.990582,1.26949,1.15348,3.24564,4.13619,0.517247,2.66523,-0.748054,1.72486,1.77545,1.76835
1.08238,1.51343,0.032211,0.277201,1.54343,1.44344,0.587633,3.96585,1.26121,2.49997,0.641549,2.6933,1.19345,2.06172
1.49134,1.75258,0.384379,2.42539,2.75667,1.26154,2.03504,4.39119,1.70727,3.6982,1.2522,3.30308,1.75975,2.09335
2.18495,1.26656,0.793105,3.26773,2.80347,0.994647,4.51698,4.18567,1.61524,4.42104,0.270632,3.08452,2.26715,1.68985
1.23663,0.435509,0.862272,1.85087,0.975012,0.507453,4.43384,2.29147,0.669213,3.21941,-1.6418,1.79203,1.63791,0.608645
-0.560965,-0.0493099,0.340692,-0.759204,-1.00451,-0.160423,3.16942,-0.0299287,-0.356721,1.75412,-1.95488,0.15714,0.520728,-0.501867
-0.801894,0.542472,-0.325235,-1.01482,-1.15988,-0.9074,2.6236,-0.121337,0.0230644,1.33476,-1.68748,-0.810819,0.0627977,-0.882854
-0.03311,1.4704,-0.693415,1.26905,0.123475,-1.27894,1.47559,0.524102,0.673645,0.833422,-2.20785,-1.58656,0.0741993,-0.451308
-0.396601,1.52159,-0.936593,2.23428,1.04763,-1.11712,-1.38489,-0.352055,0.23732,-0.881702,-2.54999,-2.1045,-0.105699,-0.0891846
-1.97372,0.608458,-1.17002,0.824567,0.712981,-0.580002,-3.01567,-1.6947,-0.284549,-2.21838,-2.29689,-1.6219,-0.754833,-0.0600961
-1.77082,-0.803928,-1.18803,-0.135983,0.31888,-0.190522,-0.953171,-1.01648,-0.721788,-1.45338,-1.85895,-0.869005,-0.803238,0.15891
-0.362532,-1.50187,-1.0464,0.232272,0.273019,-0.159687,1.67338,0.601131,-0.802609,-0.0221338,-1.16571,-0.584767,0.0732205,0.406713
-0.773049,-1.19511,-1.15746,-0.107818,-0.130192,-0.170884,1.05806,0.699457,-0.121235,0.00989792,0.201005,-0.594315,0.580023,0.145545
-2.0813,-0.962257,-1.1628,-2.75465,-0.969276,-0.209598,-1.53044,-0.0554005,0.0219777,-1.32953,1.39632,-0.444609,0.0320736,-0.596308
-3.23505,-1.17764,-1.01521,-4.86326,-2.29036,-0.139007,-2.68274,-1.4459,-0.256222,-1.88842,1.87933,-0.457693,-1.15982,-1.23185
-3.43053,-1.60299,-0.954962,-3.23362,-2.97243,-0.315607,-1.19526,-3.07345,-0.576141,-1.1195,1.84924,-0.876671,-1.88864,-1.45872
-2.55866,-1.70196,-0.416574,-1.03669,-2.96573,-0.805725,-0.159985,-3.85339,-1.25698,-0.558879,1.42505,-0.900149,-2.11022,-1.38032
-1.55818,-1.26111,0.447598,-1.15968,-3.11548,-1.00509,-1.92575,-3.70155,-1.63505,-0.523696,0.756438,-0.569172,-2.27492,-1.11419
0.152674,-0.599953,0.770501,-1.88258,-2.25549,-0.954782,-3.24251,-2.40583,-1.59667,-0.442937,-0.281104,-0.694424,-1.6248,-0.695809
1.03874,-0.281324,-0.00681622,-1.62013,-0.873906,-0.729334,-2.19455,-1.68136,-1.51321,-0.43587,-0.809025,-1.45296,-0.742399,-0.350997
0.549322,-0.359793,-0.708693,-0.324953,-0.509528,-0.22551,-0.230372,-1.59713,-1.21051,-0.511874,-0.0172949,-1.66042,-0.406782,-0.076248
1.46885,0.207204,0.412399,1.57951,-0.101156,0.494175,1.53385,-0.0323565,-0.526803,0.481337,0.529991,-0.729063,0.585774,0.454217
2.57282,1.58302,2.14059,2.98033,0.480815,1.1052,0.725657,1.20319,0.261826,1.28992,-0.0223671,0.38829,1.44003,0.766968
1.58283,2.52835,2.18438,2.18496,0.0819585,0.99371,-2.58936,0.601666,0.756313,-0.115995,0.047642,1.03575,0.492438,0.133157
0.437402,2.39846,1.18493,0.177932,-0.306663,0.266079,-3.78681,-0.0642781,0.872936,-1.83479,0.00902714,0.962685,-0.663499,-0.973279
0.717547,1.62365,0.142477,-0.499643,0.566581,-0.286046,-1.62529,0.252063,0.998732,-1.68087,-1.26388,0.154923,-0.29896,-1.13071
0.674072,0.171935,-0.782125,-0.802056,1.39935,-0.261137,-0.451756,0.751183,1.16414,-0.599822,-2.42786,-0.571292,0.528962,-0.308709
-0.423941,-1.57202,-1.09307,-1.74643,1.12887,0.129209,-0.400441,0.939018,0.830496,0.436353,-2.38482,-0.197437,0.713356,0.505815
-1.78168,-2.4539,-0.787217,-2.34707,-0.0455598,0.708912,-0.0701622,0.716546,0.534059,1.01324,-0.266616,1.02925,0.029328,1.15228
-1.22515,-2.20455,0.293174,-1.87931,-0.64151,1.05979,0.669333,1.2504,0.617276,1.38258,2.21631,2.43762,-0.257321,1.71663
1.52514,-1.23329,1.36449,-0.146823,0.0971335,0.83136,3.14155,2.54479,0.760837,2.59169,3.24628,3.24233,0.708147,1.95735
2.46375,-0.830208,1.28184,0.988021,0.18674,0.439576,4.56673,1.84864,0.776937,2.66829,3.063,2.54811,1.20628,1.24637
0.944085,-1.25233,0.245756,0.2307,-0.549317,-0.0145551,3.43384,-0.537194,0.311401,0.677423,1.6475,0.491035,0.719323,-0.104423
-0.945984,-1.40604,-0.514567,-0.901669,-0.900727,-0.254064,1.59963,-2.42863,-0.469193,-0.855878,-0.0542584,-1.57937,0.0827736,-0.931709
-1.23485,-0.746137,-0.236057,-0.5122,-0.214209,0.056894,-0.056801,-2.1763,-0.7168,-1.0427,-0.489548,-2.02859,-0.0796729,-0.773979
0.0945921,0.403542,0.262415,0.617328,0.736839,0.382901,-0.532998,-0.225399,0.00569328,-0.608429,-0.030732,-1.06773,0.338635,-0.241729
0.975509,1.12199,0.486449,1.13921,0.941399,0.276144,-0.352866,0.880614,0.706846,-0.0135884,-0.126718,-0.284738,0.842789,-0.0398097
0.387171,1.22276,0.714368,1.31114,0.631485,0.0442788,-0.676415,0.230008,0.699521,0.446213,0.068525,0.00576353,0.667608,0.0462322
-1.01831,0.883902,0.773819,1.4371,0.134413,0.0422862,-0.485694,-1.029,0.334193,0.440913,1.13291,0.465297,-0.0839081,0.219399
-0.981156,0.854759,0.612363,2.24852,0.292686,0.259424,-0.0307711,-1.02935,0.290266,0.0548082,2.11097,0.926772,-0.221914,0.374079
0.367546,1.54256,1.1281,2.49018,0.696157,0.985331,-1.55334,0.0682832,0.537814,-0.967667,2.49782,1.27416,-0.241992,0.66702
1.13874,2.03768,1.83856,2.21416,0.912181,1.5514,-2.84103,1.02515,0.484336,-1.74331,1.13347,1.42918,-0.303757,0.982523
0.978815,1.54042,0.974117,2.56559,1.27552,0.962132,-0.184227,1.70564,0.327973,-0.137813,-0.219964,1.02706,0.416607,0.921643
0.213895,0.376345,-0.525854,1.63157,0.969778,0.107143,1.98858,1.64234,0.302859,1.33248,0.339817,0.357272,0.826523,0.593865
-1.14568,-0.283662,-0.840463,-0.273953,-0.519551,-0.0534592,-0.55495,0.0896359,-0.0338927,0.298481,1.48388,0.00311969,-0.0233257,0.0970584
-1.83816,-0.465454,-0.498376,-1.05107,-1.33381,-0.080479,-3.50748,-1.30823,-1.04706,-0.994422,2.61117,0.0995512,-0.752777,-0.463977
-0.751968,-0.450428,-0.00871756,-0.589724,-0.391306,-0.338286,-3.94155,-1.17024,-1.82576,-1.70513,2.56088,0.0509768,-0.305498,-0.580929
0.175308,-0.0861713,0.417284,-0.307409,0.176234,-0.288233,-3.23826,-0.84788,-1.38617,-1.9396,1.84431,-0.343739,-0.159553,-0.174871
0.344184,0.214434,0.348855,-1.54422,-0.143398,-0.0340939,-2.31405,-0.634539,-0.259984,-1.79799,1.28811,-0.253631,-0.672411,0.172812
0.146338,0.391594,0.128238,-2.40651,-0.385078,0.035584,-1.47549,-0.292834,0.527377,-1.63508,-0.167651,0.130583,-1.05357,0.109365
-0.0651355,0.484576,0.223643,-0.607876,-0.221741,-0.0922835,0.141437,0.328269,0.211288,-1.16418,-1.16991,0.135694,-1.20446,-0.0398894
0.246903,0.777017,0.569147,1.08568,0.567819,-0.0788969,1.33825,0.762077,-0.278176,-1.07024,-1.76249,0.0737137,-0.776552,-0.180757
0.20237,0.981896,0.232589,0.949496,1.13285,0.257641,2.20319,0.34728,0.00133181,-0.44956,-2.73874,-0.338958,-0.032523,-0.189674
0.603786,0.693101,-0.660745,0.795227,1.51152,0.100767,3.07201,0.801611,0.165052,1.43659,-2.17696,-0.489171,0.653555,0.266832
2.28028,0.727321,-0.751914,0.764236,2.37403,-0.678964,1.78838,2.72752,0.254263,2.29314,-1.44276,0.260159,1.44712,0.735255
3.28727,0.915216,-0.284622,0.940912,2.57231,-0.810522,1.14839,4.06281,0.780185,2.50522,-2.37264,0.625967,2.12674,0.835321
2.15518,0.0728053,-0.85735,0.837804,1.62949,-0.356173,2.23879,2.95808,0.844148,3.01506,-2.29164,-0.386039,1.88844,0.737761
0.0539803,-1.37714,-1.41465,-0.998197,0.351943,-0.217558,2.03595,0.063712,0.196682,1.68538,-0.833496,-1.51045,0.717642,0.0405458
-1.0212,-1.71695,-1.02544,-2.26396,-0.307626,-0.0480803,2.65905,-1.94112,0.198019,0.283296,-1.03039,-1.39009,-0.256734,-0.618408
-0.730704,-0.897724,-0.966604,-1.03066,-0.28558,-0.0126558,4.82123,-1.47869,0.655282,1.244,-1.93204,-1.0037,-0.576981,-0.30408
-0.445382,0.360772,-0.371482,0.00536821,-0.59116,-0.41011,3.08014,-0.673442,0.528488,1.23649,-1.52307,-1.05121,-0.579647,-0.274357
0.230299,1.72812,1.35555,0.340637,-0.32831,-0.230867,-1.4249,-0.881009,0.163448,-0.347901,-1.44483,-0.889387,-0.032626,-0.328244
0.906752,1.79575,2.39295,1.18762,0.40786,0.701779,-3.24938,-0.6764,-0.0822938,-0.794564,-1.20887,-0.132939,0.474857,0.48999
-0.279672,0.171999,1.16542,1.14294,0.271877,1.10485,-3.40601,-0.121384,-0.122172,-0.604461,1.15821,0.729141,-0.00436454,1.05815
-1.38515,-1.16054,-0.878003,-0.0539843,0.117048,0.753668,-3.05732,0.438552,-0.327989,-0.481017,2.72904,1.35764,-0.273774,1.08009
-0.800656,-0.983528,-1.62256,-0.858221,0.16161,0.530793,-1.16072,0.84689,-0.53029,0.35795,1.4355,1.69126,0.3581,1.29457
1.1026,-0.355987,-1.43164,-0.379735,0.121825,0.21179,0.802339,1.94663,-0.185152,1.63158,1.3098,1.84395,0.874168,1.74494
2.54238,-0.416492,-0.502352,-0.919052,-0.205222,-0.672463,-0.484171,3.38226,-0.118282,1.37839,2.57044,2.17863,0.697846,1.21321
1.1695,-1.36302,0.628526,-3.63685,-1.502,-1.2916,-4.84916,2.04354,-0.920104,-0.915645,1.85447,2.0505,-0.155155,-0.293032
-1.33167,-2.82054,0.412988,-4.29263,-2.68558,-1.20926,-6.30383,-1.40571,-1.82256,-2.265,0.342926,0.752707,-1.00966,-1.08443
-2.55082,-3.33486,-0.892724,-2.31266,-2.01724,-0.856349,-3.01972,-3.82641,-1.7243,-1.02126,-0.177098,-0.963848,-0.99975,-1.14937
-2.58701,-2.08763,-1.60857,-0.840923,-0.51701,-0.429136,-0.123964,-4.72612,-0.67887,0.287652,-0.300693,-2.11764,-0.520105,-1.15679
-2.20105,-0.613081,-1.47775,0.220087,-0.36919,-0.212568,1.37678,-4.01954,0.330064,0.337352,-0.555984,-2.55417,-0.719905,-1.10535
-1.02663,-0.0755714,-1.16949,1.18848,-0.693651,-0.221119,2.80507,-1.77198,0.642625,0.0665282,-1.53097,-2.34469,-0.777913,-0.924943
0.24247,0.0660071,-0.407368,1.30723,-0.749421,-0.0100532,2.49448,-0.136931,0.531814,-0.556045,-2.78585,-1.5514,-0.365578,-0.810108
